============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:03:24 am
  Module:                 axis_accelerator_asic
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage      Dynamic        Total     
             Instance               Cells  Power(nW)    Power(nW)     Power(nW)   
            RC_CG_HIER_INST18           1      11.593      3133.238      3144.831 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.258    316001.353    319803.610 
        MUL                           138    2150.397    186204.016    188354.413 
        ACC                            74    1323.181     98869.569    100192.750 
          REG                          25     369.663     52366.129     52735.792 
            RC_CG_HIER_INST3            1      11.593      3133.238      3144.831 
      Ca[0].Ga[0..SSING_ELEMENT       237    3801.260    276960.929    280762.190 
        MUL                           138    2150.928    165194.639    167345.566 
        ACC                            74    1317.133     85783.390     87100.523 
          REG                          25     366.090     46081.414     46447.504 
            RC_CG_HIER_INST70           1      11.593      3137.432      3149.025 
      Ca[0].Ga[0..SSING_ELEMENT       238    3801.189    284166.219    287967.407 
        MUL                           139    2147.761    146921.640    149069.401 
        ACC                            74    1325.080    102638.453    103963.533 
          REG                          25     370.802     54990.640     55361.441 
            RC_CG_HIER_INST97           1      11.593      3126.600      3138.194 
      Ca[0].Ga[0..SSING_ELEMENT       238    3801.189    285772.992    289574.181 
        MUL                           139    2147.761    148528.719    150676.480 
        ACC                            74    1325.080    102638.453    103963.533 
          REG                          25     370.802     54990.640     55361.441 
            RC_CG_HIER_INST80           1      11.593      3126.600      3138.194 
      Ca[0].Ga[0..SSING_ELEMENT       238    3801.189    285613.273    289414.461 
        MUL                           139    2147.761    148368.926    150516.687 
        ACC                            74    1325.080    102638.453    103963.533 
          REG                          25     370.802     54990.640     55361.441 
            RC_CG_HIER_INST48           1      11.593      3126.600      3138.194 
      Ca[0].Ga[0..SSING_ELEMENT       238    3801.189    285772.984    289574.173 
        MUL                           139    2147.761    148528.710    150676.471 
        ACC                            74    1325.080    102638.453    103963.533 
          REG                          25     370.802     54990.640     55361.441 
            RC_CG_HIER_INST15           1      11.593      3126.600      3138.194 
      Ca[0].Ga[0..SSING_ELEMENT       237    3800.185    204976.685    208776.870 
        MUL                           138    2147.963    109605.221    111753.184 
        ACC                            74    1316.044     82618.202     83934.245 
          REG                          25     364.601     43794.460     44159.061 
            RC_CG_HIER_INST97           1      11.593      3126.540      3138.134 
      Ca[0].Ga[0..SSING_ELEMENT       237    3800.185    205015.137    208815.322 
        MUL                           138    2147.963    109605.221    111753.184 
        ACC                            74    1316.044     82617.685     83933.729 
          REG                          25     364.601     43794.460     44159.061 
            RC_CG_HIER_INST82           1      11.593      3126.540      3138.134 
      Ca[0].Ga[0..SSING_ELEMENT       237    3800.185    204491.139    208291.323 
